group_type,group,trades,win_rate,avg_pnl,median_pnl,total_pnl,avg_holding_days,avg_position_pct,profit_factor
ticker,CRM,6,0.3333,-23.62,-27.79,-141.73,4.67,19.97,0.295
ticker,BRK-B,7,0.2857,-20.35,-27.21,-142.44,2.43,20.0,0.207
ticker,MU,6,0.3333,-24.23,-48.33,-145.38,2.5,19.6,0.435
ticker,EOG,6,0.3333,-24.44,-40.14,-146.65,3.33,19.43,0.244
ticker,PEG,18,0.3333,-8.15,-17.16,-146.72,3.06,20.0,0.424
ticker,TXN,7,0.2857,-21.3,-28.15,-149.09,2.29,20.0,0.294
ticker,SBUX,9,0.2222,-17.2,-26.5,-154.82,2.22,20.0,0.177
ticker,VLO,4,0.25,-43.42,-49.91,-173.66,2.5,19.97,0.228
ticker,KMB,60,0.4167,-3.09,-5.35,-185.39,3.15,20.0,0.658
ticker,AVGO,7,0.1429,-28.26,-49.04,-197.8,4.29,19.08,0.194
ticker,NOW,8,0.25,-25.82,-32.11,-206.55,3.88,19.82,0.107
ticker,C,10,0.1,-22.42,-29.75,-224.17,3.6,19.17,0.075
